scorer,,,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali
bodyparts,,,Back1,Back1,Back2,Back2,Back3,Back3,Back4,Back4,Head1,Head1,Nose,Nose,Throat3,Throat3,LFF2,LFF2,LFF3,LFF3,LFF5,LFF5,RFF2,RFF2,RFF3,RFF3,RFF5,RFF5,Belly1,Belly1,LHF2,LHF2,LHF3,LHF3,LHF5,LHF5,RHF2,RHF2,RHF3,RHF3,RHF5,RHF5,Tail1,Tail1
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,_0,img000.png,203.0,317.0,335.0,319.0,479.0,316.0,593.0,321.0,663.0,304.0,742.0,399.0,576.0,513.0,,,519.0,561.0,,,542.0,485.0,560.0,568.0,518.0,653.0,339.0,544.0,193.0,475.0,166.0,548.0,165.0,671.0,251.0,497.0,271.0,576.0,,,164.0,532.0
labeled-data,_0,img001.png,206.0,317.0,337.0,319.0,482.0,316.0,596.0,320.0,666.0,304.0,746.0,399.0,579.0,513.0,,,521.0,561.0,,,546.0,486.0,570.0,566.0,529.0,651.0,342.0,544.0,197.0,476.0,169.0,549.0,165.0,671.0,254.0,497.0,272.0,576.0,,,165.0,532.0
labeled-data,_0,img002.png,213.0,317.0,345.0,320.0,488.0,316.0,604.0,318.0,675.0,303.0,755.0,399.0,588.0,512.0,,,525.0,561.0,,,556.0,488.0,592.0,560.0,555.0,647.0,349.0,544.0,204.0,477.0,176.0,549.0,167.0,671.0,262.0,497.0,274.0,577.0,,,168.0,533.0
labeled-data,_0,img003.png,224.0,317.0,355.0,320.0,496.0,316.0,614.0,315.0,687.0,302.0,768.0,398.0,599.0,510.0,,,530.0,560.0,,,569.0,489.0,617.0,551.0,590.0,641.0,358.0,544.0,214.0,478.0,185.0,550.0,168.0,671.0,272.0,497.0,277.0,577.0,,,173.0,533.0
labeled-data,_0,img004.png,235.0,317.0,366.0,320.0,506.0,316.0,626.0,313.0,699.0,302.0,780.0,397.0,612.0,509.0,,,535.0,560.0,,,583.0,490.0,639.0,544.0,628.0,636.0,369.0,544.0,224.0,479.0,194.0,551.0,170.0,670.0,283.0,498.0,280.0,577.0,,,180.0,533.0
labeled-data,_0,img005.png,247.0,317.0,378.0,321.0,517.0,316.0,637.0,312.0,710.0,301.0,791.0,397.0,622.0,509.0,,,538.0,560.0,,,597.0,489.0,652.0,543.0,662.0,633.0,380.0,544.0,232.0,480.0,201.0,551.0,171.0,670.0,292.0,498.0,284.0,576.0,,,188.0,533.0
labeled-data,_0,img006.png,258.0,317.0,388.0,320.0,527.0,316.0,646.0,313.0,720.0,302.0,801.0,397.0,630.0,510.0,,,540.0,560.0,,,610.0,488.0,656.0,554.0,688.0,634.0,,,241.0,478.0,208.0,548.0,172.0,667.0,300.0,498.0,287.0,576.0,,,196.0,533.0
labeled-data,_0,img007.png,267.0,317.0,396.0,320.0,536.0,316.0,655.0,313.0,729.0,302.0,810.0,398.0,636.0,511.0,,,540.0,559.0,,,621.0,487.0,667.0,558.0,706.0,639.0,401.0,542.0,252.0,474.0,217.0,542.0,175.0,663.0,307.0,498.0,289.0,575.0,,,202.0,533.0
labeled-data,_0,img008.png,276.0,317.0,404.0,320.0,545.0,316.0,663.0,314.0,737.0,303.0,819.0,400.0,,,,,541.0,558.0,,,631.0,487.0,673.0,563.0,718.0,646.0,410.0,540.0,259.0,470.0,224.0,538.0,181.0,659.0,312.0,499.0,291.0,574.0,,,208.0,532.0
labeled-data,_0,img009.png,283.0,317.0,411.0,319.0,553.0,315.0,670.0,315.0,745.0,304.0,826.0,401.0,,,,,542.0,558.0,,,639.0,487.0,678.0,568.0,726.0,653.0,418.0,539.0,262.0,468.0,229.0,538.0,187.0,656.0,317.0,499.0,293.0,573.0,,,213.0,532.0
labeled-data,_0,img010.png,291.0,317.0,418.0,319.0,559.0,315.0,676.0,316.0,751.0,305.0,833.0,401.0,,,,,545.0,557.0,,,646.0,487.0,683.0,571.0,,,425.0,538.0,267.0,467.0,234.0,537.0,195.0,653.0,322.0,499.0,296.0,573.0,348.0,685.0,,
labeled-data,_0,img011.png,298.0,317.0,425.0,319.0,566.0,316.0,683.0,316.0,758.0,305.0,840.0,402.0,,,,,549.0,557.0,,,652.0,487.0,688.0,572.0,737.0,657.0,,,,,243.0,533.0,209.0,649.0,327.0,499.0,298.0,572.0,,,227.0,531.0
labeled-data,_0,img012.png,305.0,317.0,432.0,320.0,573.0,317.0,690.0,318.0,765.0,307.0,847.0,404.0,,,,,554.0,558.0,,,656.0,490.0,691.0,573.0,,,437.0,537.0,,,260.0,528.0,235.0,643.0,330.0,498.0,302.0,571.0,,,234.0,531.0
labeled-data,_0,img013.png,312.0,317.0,439.0,320.0,580.0,319.0,697.0,320.0,773.0,309.0,856.0,406.0,,,,,559.0,558.0,,,660.0,493.0,694.0,575.0,,,443.0,537.0,,,282.0,523.0,270.0,638.0,333.0,496.0,305.0,569.0,,,241.0,530.0
labeled-data,_0,img014.png,319.0,317.0,447.0,320.0,588.0,321.0,705.0,321.0,782.0,311.0,865.0,408.0,,,,,563.0,559.0,,,664.0,495.0,696.0,576.0,,,449.0,537.0,,,307.0,521.0,,,337.0,494.0,309.0,567.0,,,248.0,528.0
labeled-data,_0,img015.png,327.0,317.0,455.0,321.0,596.0,321.0,714.0,322.0,791.0,311.0,875.0,409.0,687.0,519.0,,,567.0,558.0,,,669.0,497.0,702.0,576.0,,,456.0,536.0,,,,,358.0,632.0,342.0,493.0,313.0,565.0,,,256.0,527.0
labeled-data,_0,img016.png,336.0,317.0,463.0,320.0,605.0,321.0,723.0,322.0,800.0,311.0,885.0,410.0,695.0,520.0,,,570.0,557.0,,,674.0,497.0,709.0,574.0,,,464.0,536.0,,,,,404.0,633.0,348.0,492.0,318.0,563.0,,,264.0,526.0
labeled-data,_0,img017.png,345.0,317.0,472.0,320.0,614.0,321.0,732.0,322.0,810.0,311.0,895.0,410.0,702.0,520.0,,,575.0,556.0,,,678.0,496.0,711.0,574.0,,,472.0,535.0,,,391.0,537.0,448.0,636.0,354.0,491.0,322.0,561.0,,,270.0,525.0
labeled-data,_0,img018.png,354.0,316.0,481.0,320.0,623.0,321.0,741.0,322.0,820.0,311.0,906.0,410.0,709.0,520.0,,,590.0,558.0,,,680.0,494.0,711.0,575.0,,,481.0,535.0,,,420.0,542.0,485.0,639.0,360.0,490.0,326.0,558.0,,,276.0,524.0
labeled-data,_0,img019.png,363.0,316.0,490.0,320.0,632.0,320.0,750.0,322.0,829.0,311.0,916.0,410.0,716.0,520.0,,,602.0,558.0,,,683.0,493.0,710.0,575.0,,,489.0,534.0,,,445.0,545.0,514.0,643.0,366.0,489.0,331.0,556.0,,,282.0,522.0
labeled-data,_0,img020.png,371.0,316.0,497.0,320.0,640.0,319.0,759.0,321.0,838.0,310.0,926.0,410.0,723.0,519.0,,,617.0,557.0,,,686.0,492.0,712.0,575.0,,,497.0,534.0,,,458.0,547.0,529.0,645.0,371.0,489.0,335.0,555.0,,,290.0,521.0
labeled-data,_0,img021.png,379.0,316.0,505.0,320.0,647.0,319.0,766.0,320.0,846.0,309.0,935.0,409.0,730.0,519.0,,,634.0,556.0,567.0,616.0,688.0,491.0,714.0,575.0,,,504.0,533.0,,,464.0,550.0,,,376.0,489.0,339.0,553.0,,,299.0,520.0
labeled-data,_0,img022.png,386.0,316.0,511.0,319.0,653.0,318.0,773.0,319.0,853.0,307.0,943.0,407.0,737.0,518.0,,,655.0,554.0,,,688.0,491.0,716.0,575.0,,,510.0,532.0,,,469.0,552.0,,,382.0,489.0,345.0,552.0,,,310.0,519.0
labeled-data,_0,img023.png,392.0,316.0,517.0,319.0,660.0,317.0,778.0,317.0,858.0,305.0,950.0,404.0,744.0,517.0,,,677.0,553.0,607.0,606.0,689.0,491.0,717.0,574.0,,,516.0,532.0,,,474.0,553.0,,,388.0,489.0,350.0,551.0,349.0,672.0,,
labeled-data,_0,img024.png,399.0,316.0,524.0,319.0,666.0,317.0,784.0,316.0,864.0,302.0,957.0,401.0,752.0,517.0,,,,,633.0,603.0,691.0,490.0,720.0,573.0,,,523.0,531.0,,,478.0,553.0,,,394.0,490.0,355.0,551.0,,,334.0,518.0
labeled-data,_0,img025.png,406.0,316.0,530.0,319.0,673.0,317.0,790.0,315.0,869.0,300.0,964.0,398.0,761.0,516.0,,,,,662.0,601.0,,,725.0,573.0,744.0,666.0,529.0,531.0,,,481.0,552.0,,,398.0,490.0,359.0,551.0,,,344.0,518.0
labeled-data,_0,img026.png,414.0,316.0,538.0,319.0,680.0,317.0,797.0,314.0,876.0,299.0,972.0,396.0,772.0,515.0,,,,,695.0,601.0,704.0,489.0,730.0,573.0,,,537.0,531.0,,,484.0,552.0,,,402.0,490.0,362.0,551.0,,,355.0,518.0
labeled-data,_0,img027.png,422.0,316.0,546.0,319.0,687.0,317.0,805.0,314.0,885.0,299.0,981.0,398.0,782.0,515.0,,,781.0,534.0,,,713.0,488.0,733.0,573.0,744.0,665.0,,,477.0,478.0,,,553.0,647.0,408.0,490.0,,,,,,
labeled-data,_0,img028.png,430.0,315.0,555.0,319.0,695.0,317.0,812.0,314.0,893.0,300.0,988.0,401.0,793.0,515.0,,,803.0,527.0,766.0,602.0,722.0,486.0,735.0,573.0,,,553.0,531.0,,,488.0,550.0,,,415.0,489.0,373.0,548.0,,,,
labeled-data,_0,img029.png,438.0,315.0,563.0,319.0,703.0,317.0,819.0,315.0,900.0,302.0,995.0,406.0,802.0,515.0,,,818.0,523.0,798.0,604.0,730.0,484.0,735.0,572.0,,,561.0,531.0,,,491.0,550.0,,,424.0,487.0,381.0,546.0,,,,
labeled-data,_0,img030.png,445.0,314.0,570.0,319.0,710.0,317.0,826.0,316.0,907.0,304.0,1000.0,411.0,810.0,515.0,,,826.0,524.0,826.0,608.0,738.0,483.0,737.0,572.0,,,568.0,530.0,,,493.0,549.0,,,435.0,486.0,392.0,544.0,,,,
labeled-data,_0,img031.png,452.0,312.0,577.0,318.0,717.0,317.0,832.0,317.0,913.0,306.0,1004.0,416.0,816.0,515.0,,,830.0,532.0,848.0,615.0,745.0,483.0,740.0,572.0,,,574.0,529.0,,,496.0,548.0,,,445.0,484.0,402.0,541.0,371.0,661.0,,
labeled-data,_0,img032.png,458.0,311.0,584.0,317.0,723.0,316.0,838.0,317.0,920.0,308.0,1008.0,420.0,821.0,516.0,,,835.0,540.0,864.0,624.0,751.0,483.0,741.0,572.0,,,580.0,527.0,,,498.0,546.0,,,453.0,481.0,411.0,540.0,379.0,660.0,,
labeled-data,_0,img033.png,464.0,309.0,590.0,315.0,729.0,316.0,844.0,318.0,926.0,309.0,1013.0,423.0,826.0,516.0,,,842.0,547.0,,,757.0,483.0,743.0,572.0,,,585.0,526.0,,,501.0,545.0,,,460.0,479.0,420.0,539.0,388.0,658.0,,
labeled-data,_0,img034.png,469.0,308.0,595.0,314.0,734.0,315.0,850.0,318.0,933.0,311.0,1017.0,427.0,830.0,516.0,,,847.0,553.0,,,762.0,482.0,744.0,572.0,,,589.0,525.0,,,503.0,543.0,,,466.0,476.0,428.0,538.0,399.0,657.0,,
labeled-data,_0,img035.png,474.0,306.0,600.0,313.0,739.0,315.0,856.0,318.0,940.0,313.0,1021.0,430.0,834.0,516.0,,,850.0,557.0,,,767.0,482.0,746.0,571.0,,,594.0,524.0,,,506.0,541.0,,,471.0,473.0,436.0,537.0,411.0,656.0,,
labeled-data,_0,img036.png,479.0,305.0,605.0,312.0,744.0,314.0,861.0,319.0,946.0,314.0,1025.0,433.0,838.0,516.0,,,851.0,558.0,,,771.0,482.0,749.0,571.0,,,,,505.0,465.0,508.0,540.0,,,,,446.0,536.0,428.0,657.0,443.0,505.0
labeled-data,_0,img037.png,483.0,303.0,610.0,311.0,748.0,314.0,867.0,319.0,952.0,316.0,1029.0,436.0,842.0,516.0,,,853.0,558.0,,,776.0,482.0,751.0,571.0,,,602.0,522.0,,,510.0,538.0,,,487.0,468.0,458.0,535.0,453.0,659.0,449.0,504.0
labeled-data,_0,img038.png,488.0,302.0,614.0,310.0,753.0,314.0,872.0,320.0,958.0,317.0,1033.0,438.0,845.0,516.0,,,854.0,558.0,,,780.0,482.0,753.0,571.0,,,606.0,521.0,,,512.0,537.0,,,493.0,467.0,472.0,538.0,484.0,663.0,455.0,502.0
labeled-data,_0,img039.png,493.0,302.0,619.0,310.0,758.0,313.0,877.0,320.0,964.0,318.0,1037.0,440.0,849.0,516.0,,,855.0,558.0,,,785.0,483.0,756.0,572.0,,,611.0,520.0,,,514.0,536.0,,,499.0,468.0,488.0,543.0,518.0,665.0,461.0,502.0
labeled-data,_0,img040.png,498.0,302.0,624.0,310.0,763.0,313.0,883.0,320.0,969.0,319.0,1042.0,442.0,854.0,517.0,,,857.0,558.0,,,789.0,484.0,758.0,572.0,,,616.0,520.0,,,,,,,507.0,469.0,509.0,547.0,552.0,666.0,466.0,501.0
